,x_index,y_index,lat,lon,n_cell,mask_cell,time_cell,rrs_443,rrs_std_443,rrs_560,rrs_std_560,rrs_665,rrs_std_665,rrs_783,rrs_std_783
0,359,972,50.367893,-4.1331897,1.0,0.0,627.0,0.0030744414280844,0.0,0.0057992670038377,0.0,0.0015296916815694,0.0,0.0002393918531843,0.0
1,359,973,50.367897,-4.1329083,1.0,0.0,599.0,0.001710907186921,0.0,0.002195498285831,0.0,0.000399497634719,0.0,0.0001265542939581,0.0
2,359,974,50.3679,-4.1326275,1.0,0.0,572.0,0.0030685145640408,0.0,0.0056334849190019,0.0,0.0015917051586263,0.0,0.0002224947959158,0.0
3,360,975,50.36772,-4.132342,1.0,0.0,541.0,0.0034457307298197,0.0,0.0065910258464084,0.0,0.0019895479542256,0.0,0.0002722910536311,0.0
4,361,972,50.367535,-4.133181,245.0,0.0,18092.285714285714,0.003034011873659316,0.00029783065386927314,0.006019068074083798,0.0003808511992289624,0.0016319969568359962,0.00014973863556242887,0.00026373123570688984,3.346818501452294e-05
5,361,974,50.36754,-4.132619,1.0,0.0,510.0,0.0032880540370428,0.0,0.0067306239867008,0.0,0.0019947122331396,0.0,0.0002616904690245,0.0
6,363,974,50.36718,-4.1326103,1.0,0.0,476.0,0.0034343948645075,0.0,0.0069473274307797,0.0,0.0020464985430963,0.0,0.0002819933022473,0.0
7,364,973,50.366997,-4.132887,1.0,0.0,450.0,0.0034050278108109,0.0,0.0067327931112697,0.0,0.0019533915014001,0.0,0.0002682090436901,0.0
8,365,973,50.366817,-4.1328826,1.0,0.0,432.0,0.0030966410584833,0.0,0.0056199634752532,0.0,0.001663883306904,0.0,0.0002188920615329,0.0
9,366,973,50.36664,-4.1328783,1.0,0.0,412.0,0.0020925421080067,0.0,0.0028219521314958,0.0,0.0006427785668685,0.0,0.0001331260137334,0.0
10,368,974,50.36628,-4.132589,1.0,0.0,387.0,0.0027829991323308,0.0,0.0050314104442524,0.0,0.0015777325010098,0.0,0.000169535758022,0.0
11,369,973,50.3661,-4.1328654,1.0,0.0,370.0,0.0035023982527394,0.0,0.0071155835694698,0.0,0.0019456415097739,0.0,0.0002484927752006,0.0
12,370,974,50.36592,-4.1325803,1.0,0.0,348.0,0.0040977759995399,0.0,0.0081521765125358,0.0,0.0022885245673888,0.0,0.0002976014744486,0.0
13,373,974,50.365383,-4.1325674,1.0,0.0,318.0,0.0052442254025009,0.0,0.0080676078354661,0.0,0.0020823260576516,0.0,0.0003437814244129,0.0
14,374,974,50.365204,-4.132563,1.0,0.0,296.0,0.0040953167752026,0.0,0.0082605646801661,0.0,0.002295354898955,0.0,0.0003110126037484,0.0
15,386,972,50.363037,-4.133074,1.0,0.0,133.0,0.0052640710498074,0.0,0.010498670168464,0.0,0.003082240392113,0.0,0.0004222583695125,0.0
16,387,972,50.362858,-4.1330695,1.0,0.0,94.0,0.005310016220785,0.0,0.0101164880795185,0.0,0.0030691639910471,0.0,0.0004031837448135,0.0
17,389,972,50.3625,-4.133061,1.0,0.0,73.0,0.0053650799115011,0.0,0.0102750900786435,0.0,0.0031178875771899,0.0,0.0004189755627934,0.0
18,391,971,50.362137,-4.1333337,1.0,0.0,55.0,0.0053033120487124,0.0,0.010093153610526,0.0,0.0030176114409024,0.0,0.0004152648916316,0.0
19,396,968,50.36123,-4.1341558,1.0,0.0,22.0,0.0051799457709602,0.0,0.0099236884093906,0.0,0.0029913450505821,0.0,0.0003999851652975,0.0
20,399,965,50.360683,-4.1349864,1.0,0.0,0.0,0.0050302047033386,0.0,0.0095437217703308,0.0,0.002838199212702,0.0,0.0003836648778536,0.0
