,x_index,y_index,lat,lon,n_cell,mask_cell,time_cell,rrs_443,rrs_std_443,rrs_560,rrs_std_560,rrs_665,rrs_std_665,rrs_783,rrs_std_783
0,297,556,38.706272,-9.128237,1.0,0.0,0.0,0.001996270033398,0.0,0.0061067696054063,0.0,0.001770244952791,0.0,0.0002443874725477,0.0
1,298,526,38.706085,-9.135137,1.0,0.0,12924.0,0.003980145881019,0.0,0.0081520637573257,0.0,0.0043628441700789,0.0,0.0003579191203959,0.0
2,299,524,38.705906,-9.135596,1.0,0.0,5688.0,0.0062764788027386,0.0,0.0127603358648345,0.0,0.0043363492742446,0.0,0.0006578174593425,0.0
3,300,524,38.705723,-9.135596,1.0,0.0,12902.0,0.0064997684036812,0.0,0.0146276324398681,0.0,0.0057772334313141,0.0,0.0007132962316584,0.0
4,300,559,38.705734,-9.127545,1.0,0.0,20.0,0.0032264142254546,0.0,0.0065679460205873,0.0,0.0020062653889052,0.0,0.0003132760045428,0.0
5,302,522,38.705364,-9.136056,1.0,0.0,12881.0,0.0063947804758174,0.0,0.014999193592259,0.0,0.0064729847860323,0.0,0.000718539843343,0.0
6,303,519,38.70518,-9.136745,1.0,0.0,12859.0,0.0063513016998905,0.0,0.0155998289675074,0.0,0.0077402670628312,0.0,0.000841619466136,0.0
7,305,505,38.70482,-9.139965,1.0,0.0,12782.0,0.0064050895188717,0.0,0.0129295770736922,0.0,0.0034641547488277,0.0,0.000651244330189,0.0
8,305,510,38.70482,-9.138815,1.0,0.0,12808.0,0.0063091314771385,0.0,0.0144909397412454,0.0,0.0059990131138654,0.0,0.0006196252464335,0.0
9,305,561,38.704834,-9.127084,1.0,0.0,44.0,0.0031670309957781,0.0,0.0060934571086257,0.0,0.0016813811408275,0.0,0.000268120630338,0.0
10,308,494,38.704273,-9.142494,1.0,0.0,12716.0,0.0021997398543044,0.0,0.0081293944441026,0.0,0.0020473128015422,0.0,0.0002785088434441,0.0
11,309,561,38.704113,-9.127083,1.0,0.0,68.0,0.0031648487445997,0.0,0.0061680945974324,0.0,0.0017408474392112,0.0,0.0002737809046385,0.0
12,314,559,38.70321,-9.127542,1.0,0.0,96.0,0.0028899824998805,0.0,0.0057326223087129,0.0,0.0016422733869623,0.0,0.0002499412505324,0.0
13,316,557,38.70285,-9.128,1.0,0.0,116.0,0.003267266863473,0.0,0.0062305131296989,0.0,0.0017334757368269,0.0,0.0002663183994828,0.0
14,321,449,38.70192,-9.15284,1.0,0.0,12474.0,0.0050358128113462,0.0,0.010113783924768,0.0,0.0034178207221735,0.0,0.0003908518942747,0.0
15,330,546,38.70032,-9.130526,1.0,0.0,216.0,0.0019244122594113,0.0,0.0065812875588931,0.0,0.0045151371371814,0.0,0.0003414875347977,0.0
16,337,410,38.69902,-9.161803,1.0,0.0,12243.0,0.0044596398031939,0.0,0.0093973404729941,0.0,0.0031853317576691,0.0,0.0003302050455323,0.0
17,337,543,38.69906,-9.131214,1.0,0.0,258.0,0.0026811637833583,0.0,0.0046059162813107,0.0,0.001219886461613,0.0,0.0001933215954192,0.0
18,344,384,38.69775,-9.16778,1.0,0.0,12076.0,0.0040086969319705,0.0,0.0076386101560938,0.0,0.0020502483886041,0.0,0.0003376733257744,0.0
19,348,343,38.697018,-9.177208,1.0,0.0,11718.0,0.0045563360898948,0.0,0.0091430979841263,0.0,0.0029952269892942,0.0,0.0003981261295745,0.0
20,348,345,38.697018,-9.176748,1.0,0.0,11738.0,0.004438375278939,0.0,0.0090261513969616,0.0,0.0029981320409022,0.0,0.0003988935512819,0.0
21,348,365,38.697025,-9.172149,1.0,0.0,11943.0,0.0037647114082828,0.0,0.0087325999799012,0.0,0.0034621901877015,0.0,0.000364191675738,0.0
22,349,339,38.696835,-9.178127,1.0,0.0,11674.0,0.0045573426067768,0.0,0.0092677340436121,0.0,0.0030940114751584,0.0,0.0003346709575202,0.0
23,349,341,38.696835,-9.177668,1.0,0.0,11696.0,0.0045496036451594,0.0,0.0088697922088962,0.0,0.0028144283611687,0.0,0.0003917047121928,0.0
24,349,349,38.69684,-9.175828,1.0,0.0,11787.0,0.00298969429762,0.0,0.0068464961918839,0.0,0.0028192423833318,0.0,0.0003243288414724,0.0
25,350,351,38.69666,-9.175367,1.0,0.0,11817.0,0.004352744214679,0.0,0.0086139025514258,0.0,0.002349950133737,0.0,0.0003649548136374,0.0
26,350,352,38.69666,-9.1751375,1.0,0.0,11835.0,0.0048055094968144,0.0,0.0087603476303848,0.0,0.0024869012150784,0.0,0.0003530897653056,0.0
27,350,354,38.69666,-9.174678,1.0,0.0,11857.0,0.0045940054623688,0.0,0.008336501405257,0.0,0.0023439835911566,0.0,0.0003467441576232,0.0
28,356,506,38.695625,-9.139717,1.0,0.0,7201.0,0.0030430149241645,0.0,0.00569237056606,0.0,0.0015879878831097,0.0,0.000241332325491,0.0
29,358,279,38.69519,-9.191923,1.0,0.0,8821.0,0.0031003848677425,0.0,0.0059816662156407,0.0,0.0017733514160618,0.0,0.0003154352929682,0.0
30,358,280,38.69519,-9.191692,1.0,0.0,2082.0,0.0022388065146393,0.0,0.0061723694051303,0.0,0.0016915451427936,0.0,0.0002294515005775,0.0
31,358,286,38.695194,-9.190312,1.0,0.0,2054.0,0.0020175198839767,0.0,0.0061511020476829,0.0,0.0016862818702554,0.0,0.0002479461135293,0.0
32,359,274,38.695007,-9.193072,1.0,0.0,8848.0,0.0041459950023926,0.0,0.0079032681161954,0.0,0.0024652556323107,0.0,0.0003859426782568,0.0
33,359,276,38.69501,-9.192613,1.0,0.0,2104.0,0.00203809294677,0.0,0.0056451079240301,0.0,0.0015043864368449,0.0,0.0002030695337971,0.0
