,x_index,y_index,lat,lon,n_cell,mask_cell,time_cell,rrs_443,rrs_std_443,rrs_560,rrs_std_560,rrs_665,rrs_std_665,rrs_783,rrs_std_783
0,299,525,38.705906,-9.135366,1.0,0.0,2883.0,0.0075352474544378,0.0,0.0188473774454317,0.0,0.014476358364937,0.0,0.0018937969084069,0.0
1,300,526,38.705723,-9.135137,1.0,0.0,4019.0,0.0079746954300324,0.0,0.0205260411674597,0.0,0.0160019956473199,0.0,0.0020984253671015,0.0
2,301,526,38.705544,-9.135136,1.0,0.0,4036.0,0.0095781503898731,0.0,0.0225642399384488,0.0,0.0177729391782054,0.0,0.002226838770774,0.0
3,304,495,38.704994,-9.142265,4.0,0.0,2603.0,0.010069968532854074,0.0001471552514043802,0.02316582579678495,0.00028883316907369255,0.016897561841705547,0.00019031392613981518,0.002069660683613925,2.9805046083864992e-05
4,305,524,38.704823,-9.135594,1.0,0.0,4075.0,0.0059402842679853,0.0,0.0144276545081152,0.0,0.0081176670984271,0.0,0.0006375156998732,0.0
5,306,494,38.704636,-9.142494,1.0,0.0,2531.0,0.0095445753123571,0.0,0.0225825786024942,0.0,0.0167726245915707,0.0,0.0021156932587504,0.0
6,313,516,38.70338,-9.137432,1.0,0.0,4127.0,0.0059480634700917,0.0,0.0140841561089685,0.0,0.0073470608946738,0.0,0.0005652069182866,0.0
7,318,512,38.702477,-9.1383505,1.0,0.0,4156.0,0.0060857041730517,0.0,0.0142004545849608,0.0,0.0070168032895671,0.0,0.0005608038574962,0.0
8,323,509,38.701576,-9.139038,1.0,0.0,4185.0,0.0061057520606251,0.0,0.0140133118374456,0.0,0.0065820665830288,0.0,0.0005250488876823,0.0
9,327,506,38.70085,-9.139727,1.0,0.0,4207.0,0.0065480062337785,0.0,0.0145339632872451,0.0,0.0066376623359133,0.0,0.0004822007014953,0.0
10,330,504,38.70031,-9.140186,1.0,0.0,4228.0,0.0058894502878676,0.0,0.0131701909209255,0.0,0.0059179512345989,0.0,0.0004560780028381,0.0
11,334,500,38.69959,-9.141105,1.0,0.0,4251.0,0.0052655504531909,0.0,0.0119889420363032,0.0,0.005296544826685,0.0,0.000389979736,0.0
12,336,342,38.69918,-9.1774435,2.0,0.0,1388.0,0.00447238821720125,0.00195638157723735,0.0106311774655585,0.0051419364064627,0.0054263559495599,0.0029333846440724003,0.0005206681603864,0.00028882939885469997
13,337,342,38.698997,-9.1774435,1.0,0.0,1450.0,0.0062039678448151,0.0,0.0140581095389058,0.0,0.006072338346186,0.0,0.0005696440929818,0.0
14,337,497,38.699047,-9.141793,1.0,0.0,4272.0,0.004602536837231,0.0,0.0104880783243479,0.0,0.0045952412559325,0.0,0.0003111967769927,0.0
15,338,342,38.69882,-9.177443,1.0,0.0,1330.0,0.006247074628724,0.0,0.0162148623566795,0.0,0.010299917579917,0.0,0.001044063201732,0.0
16,339,396,38.698658,-9.165023,1.0,0.0,1920.0,0.0145571425759411,0.0,0.0286957640091515,0.0,0.017776619870825,0.0,0.0018623358594985,0.0
17,340,343,38.69846,-9.177212,1.0,0.0,1470.0,0.0079974184491384,0.0,0.0203168220598622,0.0,0.0142930620033528,0.0,0.0016391094219028,0.0
18,342,492,38.698147,-9.142941,1.0,0.0,4304.0,0.0056383449987339,0.0,0.0119075727709772,0.0,0.0050363275100202,0.0,0.0002831372103635,0.0
19,343,346,38.697918,-9.17652,1.0,0.0,1497.0,0.0069306434092468,0.0,0.0184072800528465,0.0,0.0130599606634651,0.0,0.0014884738698855,0.0
20,346,357,38.697384,-9.173989,1.0,0.0,1584.0,0.014279141602308,0.0,0.0272629952450117,0.0,0.0146589940019312,0.0,0.0011716600042082,0.0
21,357,297,38.695377,-9.187783,1.0,0.0,5443.0,0.0053754486849615,0.0,0.0104726282271675,0.0,0.0034622863709795,0.0,0.0003570488718045,0.0
22,358,292,38.695198,-9.188933,1.0,0.0,5469.0,0.0042392501278925,0.0,0.0081212127415714,0.0,0.002647718000321,0.0,0.0002803931005106,0.0
23,358,304,38.6952,-9.186173,1.0,0.0,5410.0,0.0026316622380092,0.0,0.0041856473675679,0.0,0.0010270028997,0.0,0.0001988879825299,0.0
24,358,475,38.695255,-9.146846,1.0,0.0,4407.0,0.0058795933438196,0.0,0.0124467223318014,0.0,0.0048809587211992,0.0,0.0004047246045654,0.0
25,359,276,38.69501,-9.192613,1.0,0.0,5541.0,0.0053284238060853,0.0,0.010703883373916,0.0,0.003911179344049,0.0,0.0002764811989176,0.0
26,359,282,38.69501,-9.191233,1.0,0.0,5516.0,0.0043476360446107,0.0,0.0086240321241654,0.0,0.0031093154838354,0.0,0.000265850509051,0.0
27,361,307,38.69466,-9.185482,1.0,0.0,5385.0,0.0041604680759464,0.0,0.0079714408038902,0.0,0.0024020806206257,0.0,0.0003300967692497,0.0
28,361,472,38.694714,-9.147534,1.0,0.0,4430.0,0.0059722482376861,0.0,0.0124689056328535,0.0,0.0049344949676787,0.0,0.0004406092246047,0.0
