,timestamp,lat,lon,q_1,q_2,q_3
66,2021-10-08 09:51:48.476,38.6993999,-9.1765397,1.0,1.0,1.0
67,2021-10-08 09:52:05.469,38.6993961,-9.1765377,1.0,1.0,1.0
68,2021-10-08 09:52:32.458,38.6993989,-9.1765381,1.0,1.0,1.0
69,2021-10-08 09:52:55.449,38.699398,-9.1765356,1.0,1.0,1.0
70,2021-10-08 09:53:15.441,38.6993995,-9.1765355,1.0,1.0,1.0
71,2021-10-08 09:53:37.432,38.6993979,-9.1765337,1.0,1.0,1.0
72,2021-10-08 09:53:55.424,38.6993986,-9.1765361,1.0,1.0,1.0
73,2021-10-08 09:56:20.365,38.6994019,-9.176535,1.0,1.0,1.0
74,2021-10-08 09:56:41.356,38.6994001,-9.1765316,1.0,1.0,1.0
75,2021-10-08 09:57:08.345,38.6994016,-9.1765335,1.0,1.0,1.0
76,2021-10-08 09:57:28.337,38.6994035,-9.1765335,1.0,1.0,1.0
77,2021-10-08 09:57:45.330,38.699403,-9.1765357,1.0,1.0,1.0
78,2021-10-08 09:58:05.322,38.6994026,-9.1765345,1.0,1.0,1.0
79,2021-10-08 09:58:30.312,38.6994,-9.1765325,1.0,1.0,1.0
80,2021-10-08 09:58:58.300,38.699401,-9.1765323,1.0,1.0,1.0
81,2021-10-08 09:59:26.289,38.6994027,-9.1765341,1.0,1.0,1.0
82,2021-10-08 10:00:01.274,38.6993999,-9.1765355,1.0,1.0,1.0
83,2021-10-08 10:00:21.266,38.6994006,-9.1765349,1.0,1.0,1.0
84,2021-10-08 10:00:38.259,38.6993984,-9.1765341,1.0,1.0,1.0
85,2021-10-08 10:00:56.252,38.6994004,-9.1765344,1.0,1.0,1.0
86,2021-10-08 10:01:35.236,38.6994004,-9.1765369,1.0,1.0,1.0
87,2021-10-08 10:01:55.228,38.699397,-9.1765372,1.0,1.0,1.0
88,2021-10-08 10:02:20.217,38.6993965,-9.1765366,1.0,1.0,1.0
89,2021-10-08 10:02:42.208,38.6993971,-9.176536,1.0,1.0,1.0
90,2021-10-08 10:03:05.199,38.6993988,-9.1765386,1.0,1.0,1.0
91,2021-10-08 10:03:25.191,38.6993956,-9.1765371,1.0,1.0,1.0
92,2021-10-08 10:03:43.183,38.6993989,-9.1765372,1.0,1.0,1.0
93,2021-10-08 10:04:00.176,38.6993985,-9.1765351,1.0,1.0,1.0
94,2021-10-08 10:04:30.164,38.6994001,-9.1765363,1.0,1.0,1.0
95,2021-10-08 10:04:52.155,38.6993992,-9.176534,1.0,1.0,1.0
96,2021-10-08 10:05:11.147,38.699399,-9.176534,1.0,1.0,1.0
97,2021-10-08 10:06:05.125,38.6994022,-9.1765358,1.0,1.0,1.0
98,2021-10-08 10:06:27.116,38.6994031,-9.1765357,1.0,1.0,1.0
99,2021-10-08 10:06:46.108,38.6994001,-9.1765328,1.0,1.0,1.0
100,2021-10-08 10:07:10.098,38.6994011,-9.1765341,1.0,1.0,1.0
101,2021-10-08 10:07:32.089,38.6993991,-9.1765346,1.0,1.0,1.0
102,2021-10-08 10:07:56.080,38.6994004,-9.1765369,1.0,1.0,1.0
103,2021-10-08 10:08:13.073,38.6994,-9.176534,1.0,1.0,1.0
